id,betweenness,closeness,follow,posts,interval,length,movie_posts,reposts,coapper_posts,boxoffice,fans,verifyName
1780926311,26810,0.3992,448,1309,109425,40,278,53,0,0,55,陈林海
1836665147,24236,0.3882,394,1090,124644,43,247,49,0,0,55,李天涯
1267042320,18422,0.3799,133,35,4490311,39,4,7,0,0,55,章劼
1683989624,26474,0.3761,307,791,201791,43,234,21,0,0,55,王嘉俪
1405932271,19712,0.376,302,1375,104745,40,339,23,0,92,55,刘宸希
2123645165,40750,0.3946,421,230,194491,28,26,6,0,0,55,林安竺
2242029132,29080,0.3515,207,948,123672,39,36,16,0,0,55,李浩林
1881817820,28728,0.406,365,1144,115207,53,313,285,0,0,55,朱敏铭
2316803517,32545,0.3838,488,2765,39882,77,1166,409,0,0,55,钟雨桐
1280755092,17269,0.3541,57,35,3290486,27,6,2,12,81,56,赵霁
1319364291,25391,0.3768,325,1690,82924,65,720,334,0,0,56,丛博
1718825677,20319,0.3565,602,994,157051,44,134,37,0,0,56,陈逸宁
1736061164,21959,0.3594,617,420,365171,41,82,7,0,0,56,罗天宇
1790701023,29098,0.4096,569,3144,45260,43,948,289,0,0,56,魏天赐
1740357145,17633,0.3215,97,958,148977,100,28,3,0,0,56,艾力克斯
1151338381,38757,0.3852,700,340,509265,24,50,8,0,0,56,姚金召
1264753951,23662,0.366,229,504,236537,42,117,37,0,1086,56,史啸吟
2743975780,43474,0.3821,183,286,319739,42,96,13,0,0,56,高文
1904556145,22308,0.3777,226,508,249666,46,167,17,0,0,56,赵思
2406244114,52845,0.4174,540,2364,46491,42,913,496,0,0,56,李瑞
1607498484,24911,0.3784,582,3650,42702,52,1515,152,0,0,56,杨萌
1270808362,19602,0.364,648,3867,42958,54,1238,195,0,0,56,谢昱缇
1850524557,96594,0.4433,1773,21,166011,102,6,0,0,45,56,石斌斌
1711635481,26304,0.3411,703,3799,41484,53,452,192,0,6386,56,若琪
1816281921,31220,0.3821,154,991,135243,45,221,123,0,0,56,王晔
1336976691,23883,0.3719,166,249,543279,47,76,18,0,0,56,刘芙伶
1863621537,20976,0.377,236,186,728350,39,58,7,0,0,56,刘芸杉
1243440512,22260,0.3777,250,504,160024,54,159,77,0,0,56,孙祖杨
1841847662,19815,0.372,245,928,106196,62,387,99,0,40,56,王妍
1287918797,20574,0.3722,486,1071,116905,38,286,57,0,0,56,任喜涛
1262046522,23864,0.3802,333,116,1348216,30,32,3,0,0,56,刘煜
1734534870,17736,0.35,100,99,559770,53,40,9,0,0,56,李克伟
1644258785,16898,0.3416,50,912,189395,64,372,55,138,0,56,韩雨芹
1359661125,18970,0.3558,79,8,17149043,63,2,0,0,0,56,赵寰宇
2051362363,44006,0.3897,239,220,428487,46,74,8,91,2637,56,曹慕锦
1373580870,21063,0.3925,125,80,1190480,95,48,7,0,0,56,杨露璐
1746008620,18665,0.3437,403,1535,98696,47,392,4,0,0,56,黄芷晴
1696109997,20327,0.3978,326,1933,75324,63,978,103,0,0,56,叶思淼
2141589205,18730,0.3628,63,2171,50466,35,589,69,0,0,56,黄伟
1505989231,23258,0.3703,268,960,167041,46,168,19,0,0,56,王骁
1836773523,16982,0.3504,191,806,141349,48,264,129,0,0,56,尚霏
1390390890,22247,0.3854,644,2386,52544,29,481,38,0,0,56,吕游
1726408751,31211,0.3857,394,1335,106881,52,377,52,0,0,56,林丹萍
1670083295,22861,0.3811,307,496,332538,40,181,42,0,0,56,李健仁
1779789921,27054,0.3783,217,1111,131071,37,173,44,0,0,56,杨森
2031504895,22270,0.343,130,482,218381,35,54,4,0,0,56,谢欣颖
1547254891,20714,0.381,369,370,341523,52,188,26,0,0,56,朱紫汶
2053953471,37644,0.4014,625,1047,120662,49,438,36,0,0,56,尹丹丹
1232555734,23353,0.3754,249,241,658986,36,47,0,0,0,56,李宗翼
1271855212,39105,0.4548,1743,281,385870,51,30,21,0,0,56,苏德钢
1844163637,25701,0.3483,222,2534,54892,59,889,510,0,0,56,马艺瑄
1711576182,8387,0,1,37,3996365,27,3,2,0,0,56,王姬
1344798257,19567,0.3875,184,1205,110997,52,253,12,0,0,56,梁燕燕
1341857741,24666,0.3889,378,1112,115033,56,260,33,0,0,56,安宇
1728071175,19132,0.3448,192,1798,86055,45,151,18,0,0,56,吕熙
1536118323,19503,0.3569,209,598,268943,60,177,8,0,0,56,李晨浩
1602814194,21704,0.3838,506,896,174673,39,228,9,0,0,56,贝敬楠
1699596347,36045,0.4157,581,779,200912,59,258,10,0,0,56,郝刚
1224024324,20950,0.3617,119,1851,56183,58,606,158,0,0,56,陶飞霏
2356534223,27356,0.3706,289,1147,95649,43,553,54,0,0,56,边程
1242910777,25111,0.3695,251,417,351340,52,48,5,0,0,56,袁小浪
1646343491,23610,0.3736,241,690,210066,43,242,13,0,0,56,瞿麟曼
1676389340,25789,0.4061,493,1408,94794,42,392,63,0,0,56,陈承儿
1819892037,26974,0.3817,333,2481,56693,43,481,322,0,0,56,王泽宗
1882972473,24614,0.3862,273,817,129387,72,321,180,0,0,56,殷硕
1271354361,23054,0.3879,330,398,368529,33,106,29,65,2070,56,王浩钧
1626344324,26874,0.3775,177,812,155839,44,228,66,2,525,56,王增奇
1305505990,22090,0.3776,351,2107,70651,40,560,40,0,0,56,徐艺涵
1749076544,20460,0.3702,215,445,335062,57,158,13,753,0,57,周小飞
1298174641,21235,0.3852,328,1076,121777,41,290,13,0,0,57,孙晓爽
2279894417,17417,0.3404,189,927,122743,40,229,193,0,0,57,曹星
1234696150,25747,0.3748,382,629,229237,44,129,34,0,0,57,陈泽宇
2367425457,29070,0.3814,798,416,254980,32,119,12,0,0,57,程思寒
1241431604,22333,0.3879,785,675,215017,42,238,47,0,0,57,张宵思
2003111271,22575,0.3655,443,1091,98820,53,402,121,0,0,57,王堃
1767521960,24071,0.3526,595,3113,46950,42,276,25,0,0,57,张启乐
2238336103,37781,0.3781,433,862,123738,52,215,103,0,0,57,耿英埔
1652382402,19362,0.376,273,33,3342269,51,14,0,0,0,57,张蓝艺
1258218551,19940,0.3827,180,364,375838,58,85,4,0,0,57,肖显鹏
1862525443,33715,0.3738,332,254,534896,36,66,4,0,0,57,李根
1289117055,22442,0.3665,425,1019,153889,58,311,77,0,0,57,袁野
1982336362,25898,0.3782,507,5003,24454,42,1574,345,173,2697,57,张铭祎
2638660385,55401,0.4039,306,0,0,0,0,0,0,0,57,孙兴
1770846057,32449,0.371,277,30,405734,32,7,0,0,0,57,杨茜雅
1322288524,20119,0.3746,306,126,1066950,49,62,13,0,0,57,马秋子
1314296554,22755,0.3703,220,142,832311,51,39,0,0,0,57,卢思思
1223293590,19915,0.3874,226,1341,121670,58,496,98,0,0,57,王冕
1092062281,23575,0.3604,218,400,393125,39,113,51,0,0,57,付滃
1276739200,19148,0.3803,135,140,1035453,57,44,4,0,0,57,秦伯坤
1761683260,18982,0.3516,408,965,151753,64,203,44,0,0,57,谭伟权
1886669794,29083,0.381,277,0,0,0,0,0,0,0,57,何梦洁
1231976451,23340,0.3761,185,701,214172,37,157,21,0,0,57,张明磊
1265989743,19362,0.3689,255,2610,59115,43,885,104,0,0,57,佟晨洁
1700828125,19607,0.378,219,906,168210,56,227,73,0,0,57,张黦
2496141190,36823,0.3874,219,421,250329,37,109,25,0,0,57,冯宝宁
1218515177,18676,0.3767,321,842,159818,60,285,90,0,0,57,吕静
1764839205,20204,0.3841,366,224,443517,34,54,9,0,0,57,王驾麟
1868007075,20994,0.3796,358,92,931714,25,23,0,0,0,57,周雪菲
1793522245,18712,0.377,144,591,244291,46,104,30,0,0,57,叶鹏
1327036111,16662,0.3296,53,971,92382,61,444,14,0,0,57,于明加
1287068767,23229,0.4047,590,1598,102629,43,400,170,2063,7,57,王泽霖
1652858093,19617,0.3688,590,2471,61598,43,623,81,0,0,57,刘思巍
2030072085,49115,0.4227,1039,2692,34689,47,902,247,0,0,57,磊子
1044233724,20016,0.3512,146,594,239293,55,191,17,0,0,57,李学庆
1263105641,23245,0.397,398,1993,82674,56,753,257,0,0,57,陈丽媛
1266419624,19276,0.3791,385,385,360515,37,65,19,0,0,57,范晓明
1263630970,42981,0.376,350,968,168645,21,178,20,0,0,57,刘乐
1832736217,32986,0.3763,345,281,428952,39,59,16,0,0,57,王道铁
1287300227,23340,0.3736,141,151,886125,45,46,6,0,0,57,邓安奇
1242866252,24535,0.3767,380,457,202549,49,192,5,0,0,57,阳蕾
1645856977,27269,0.3622,327,672,245829,35,127,108,0,0,57,姜洋
1280394483,22888,0.3877,359,806,180496,42,198,63,0,0,57,李璐兵
1857184667,37463,0.3832,263,302,311283,60,160,35,0,0,57,王仲欣
1509059532,21768,0.3756,513,0,0,0,0,0,4366,12106,57,金琦茗
1273275707,21416,0.3652,132,200,647911,68,49,7,0,0,57,伍麟凯
1223199232,17467,0.3688,198,538,254584,57,146,33,0,0,57,刘斌
1444585224,21884,0.3774,263,682,216876,38,157,27,0,0,57,邹涵虹
1798592270,23003,0.3775,332,513,273437,70,171,58,0,0,57,游游
1964406543,24076,0.3779,169,232,546335,35,65,19,0,0,57,张凯
2184586480,36920,0.3622,566,9025,12952,66,1282,2624,0,0,57,黄树棠
1406685100,25924,0.3785,269,1068,122539,44,382,155,0,0,57,杨雅絮
1747961292,58560,0.3997,1903,2508,59455,35,370,32,0,0,57,洪诚阳
1879214721,24448,0.3876,270,1775,74297,54,498,207,0,0,57,李培铭
1759164517,19922,0.3689,117,147,863315,43,61,6,2,63,57,董妮娜
2734099537,35247,0.3852,217,1492,56636,38,377,57,0,0,57,韦亦波
1629562511,22236,0.3916,396,236,289187,57,104,28,0,0,57,孙杨
1720824901,28577,0.3719,697,478,276034,33,151,7,409,1039,57,夏赫娜赞
1560712503,21420,0.3898,189,311,473194,48,118,14,0,0,57,杨志雯
1985534275,30272,0.3787,259,516,246143,32,113,6,0,0,57,秦晓飞
1763848015,41183,0.376,1474,8957,16754,65,1066,1493,0,0,57,苏盈之
1237635977,26597,0.3652,299,642,230995,53,186,12,0,0,57,向鼎
1225594527,25397,0.3843,520,2700,61836,38,659,64,0,0,57,陆恩华
1578363071,21505,0.36,214,551,259576,22,124,30,10683,11643,57,张骞
1973420715,20742,0.3288,92,2133,59972,43,415,503,0,128,57,陈泓宇
1849273470,17912,0.3704,197,154,719328,25,30,6,0,0,57,高赫
2713862141,50656,0.4083,370,508,144671,46,85,41,0,0,57,盖吉利
1389486980,18510,0.3634,211,672,207246,46,143,56,0,0,57,陈德容
2363123160,45605,0.3597,235,1391,79918,53,446,225,0,0,57,曾诗梅
1297815960,19611,0.3893,367,1362,117178,36,268,56,0,0,57,战一
